,Time_Binned,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer
0,"[20.0, 462.333)",240000.0,240.0,1.0004727073913047,-0.002457223723043478,16.634173608695654,1.5006944173913044,21.106445956521746,18.134868043478264,-4.472272421739129,1173.800858695652,48.51207195652173,48.51207195652173,48.51207195652173,-0.005531942943478261,-0.005553074934782607,0.0037133467304347823,0.006058610765217393,-0.002217667252608697,0.006513133930434782,510.32691713043477,7990.699634782607,-0.0004663681904633278,82.10135304347826,-327.43565565217386,242.95613556521738,-84.10524782608694,190.92326521739125,-20.244190869565205,0.0008009888101802757,-0.0031944942014846237,0.0023703037616118776,-0.0008205390031813362,0.0018626660021208905,-0.0001975043011664898,1705037.391304348,153728.73913043478,153728.73913043478,1705037.391304348,1229.6771739130436,230.0,-0.0005594459131741836,0.9998617179215271,0.9998617179215271
1,"[462.333, 904.667)",690000.0,690.0,0.9999990522727272,0.006162403697272729,16.634322772727277,1.4999839454545454,21.10673590909091,18.134306818181823,-4.472413122727272,1243.3123895454548,48.5136745,48.5136745,48.5136745,-0.005875122463636362,0.01478300550454545,0.009579327927272726,0.0010861678454545454,0.0006095698454545461,-0.012439717895454545,1468.733890909091,7045.414609090909,-0.00043334968520563797,11.776013636363636,27.435668181818176,-29.732909090909093,-30.77001818181818,-115.5297090909091,-3.4486272727272804,0.00011488793791574291,0.00026766505543237255,-0.00029007716186252774,-0.00030019529933481145,-0.0011271191130820398,-3.3645144124168526e-05,1705110.0,153752.68181818182,153752.68181818182,1705110.0,1147.1900454545455,680.0,-0.0005264274079164935,1.0000174427198818,1.0000174427198818
2,"[904.667, 1347.0)",1130000.0,1130.0,1.001136635909091,-0.002788098731818182,16.635133318181815,1.5016903000000001,21.107916499999995,18.13682359090909,-4.472783295454547,975.5895363636363,48.512515136363625,48.512515136363625,48.512515136363625,-0.001539033977272727,-0.0035436858227272726,-0.003281576422272727,0.0025477128713636368,8.508455909090965e-05,-0.0037172995918181824,2406.031759090909,6111.016704545455,-0.0004572369961223942,298.8099318181818,-410.7785545454546,110.79859545454543,-15.159077272727272,-19.447220909090905,-44.59850909090907,0.002915218847006652,-0.004007595654101996,0.0010809619068736143,-0.00014789343680709545,-0.00018972898447893567,-0.00043510740576496666,1705096.3636363635,153734.95454545456,153734.95454545456,1705096.3636363635,1169.3257272727274,1120.0,-0.0005503147188332498,0.9999021433850701,0.9999021433850701
3,"[1347.0, 1789.333)",1570000.0,1570.0,0.9998806531818183,-0.005300778545454545,16.63400422727273,1.4998063454545454,21.1067495,18.13381068181818,-4.472745236363635,1305.1912686363635,48.512418,48.512418,48.512418,-0.0075415523045454565,0.0036827877136363647,-0.012043571722727275,0.003030572772727272,-0.0022114766822727287,0.003387735007727273,3342.5427181818172,5173.5027272727275,-0.0004592383755401494,118.25621909090908,-125.83239999999999,9.242692727272733,63.575305909090915,-93.49745000000001,-10.227136363636367,0.0011537192106430153,-0.0012276331707317073,9.017261197339267e-05,0.0006202468869179602,-0.000912170243902439,-9.97769401330378e-05,1705089.5454545454,153758.13636363635,153758.13636363635,1705089.5454545454,1172.754818181818,1560.0,-0.0005523160982510051,1.0000529194382852,1.0000529194382852
4,"[1789.333, 2231.667)",2010000.0,2010.0,0.9997697054545452,0.007478514795454545,16.63558109090909,1.4996399181818183,21.106679409090905,18.135220909090908,-4.471098386363636,1161.2628525000002,48.51248100000001,48.51248100000001,48.51248100000001,0.00801406295690909,0.0031406977681818172,0.011280783613636365,0.0103343149,0.011412389936363636,0.0005957428318181822,4280.753081818182,4238.05730909091,-0.0004579403353562687,118.12879090909091,-97.26792,-27.38064999999999,-295.4442659090909,-13.588646363636377,-107.72980954545454,0.0011524760088691796,-0.0009489553170731707,-0.0002671282926829269,-0.002882383082039912,-0.00013257215964523281,-0.0010510225321507761,1705059.0909090908,153720.31818181818,153720.31818181818,1705059.0909090908,1241.7207272727273,2000.0,-0.0005510180580671243,0.9998069475240207,0.9998069475240207
5,"[2231.667, 2674.0)",2450000.0,2450.0,0.9996141827272726,0.002258018856818181,16.635430545454547,1.4994066454545456,21.107317454545456,18.13483731818182,-4.471886681818182,1222.6396309090908,48.51321777272728,48.51321777272728,48.51321777272728,0.0035588288590909112,0.00539054645,-0.0021753189136363635,0.00695212470909091,0.0012552654363636353,-0.01096142007272727,5222.014922727273,3303.5813454545455,-0.000442760008270454,108.39761726363636,-290.2211000000001,190.5731163636363,8.233354545454535,-61.79845636363635,-55.43955000000001,0.0010575377294013302,-0.0028314253658536584,0.0018592499157427935,8.03254101995564e-05,-0.0006029117694013302,-0.0005408736585365855,1705094.5454545454,153766.27272727274,153766.27272727274,1705094.5454545454,1182.9707272727271,2440.0,-0.0005358377309813097,1.0001058388765705,1.0001058388765705
6,"[2674.0, 3116.333)",2890000.0,2890.0,1.0001889595454547,0.014588227140454544,16.634438954545455,1.500268795454545,21.106801272727274,18.13470772727273,-4.472362413636365,1184.2554538181816,48.51058372727273,48.51058372727273,48.51058372727273,0.017004195842727273,0.015428895095454543,0.011331591110454547,-0.0004451362550000004,-0.0003185654045454541,0.00012184909818181932,6166.858840909092,2368.4748499999996,-0.0004970313867820578,138.9435727272727,-61.175215454545466,-87.42216818181818,-2.4833681818181716,146.08902727272726,29.76237545454546,0.0013555470509977825,-0.0005968313702882483,-0.0008528992017738359,-2.422798226164076e-05,0.001425258802660754,0.0002903646385809313,1705058.1818181819,153737.0909090909,153737.0909090909,1705058.1818181819,1195.148909090909,2880.0,-0.0005901091094929131,0.9999160384331115,0.9999160384331115
7,"[3116.333, 3558.667)",3330000.0,3330.0,1.0008356768181819,0.005048114098181819,16.63516931818182,1.5012388545454547,21.106676772727273,18.136408227272725,-4.471507445454546,995.751734090909,48.51118554545454,48.51118554545454,48.51118554545454,0.004220793195454545,-0.004864953800000001,0.015788502904545452,0.007176355643590911,0.001413076936363636,0.007698062686363637,7112.040359090909,1430.8946422727274,-0.00048463163783912143,111.28659954545455,-184.80975454545452,87.02045272727271,-11.85331363636364,-53.51448181818182,-156.20290227272727,0.001085722922394679,-0.001803021995565411,0.0008489800266075387,-0.00011564208425720621,-0.0005220925055432373,-0.0015239307538802663,1705095.0,153769.13636363635,153769.13636363635,1705095.0,1114.1215909090906,3320.0,-0.000577709360549977,1.0001244641537326,1.0001244641537326
8,"[3558.667, 4001.0)",3780000.0,3780.0,0.9996641621739132,-0.008062056552173914,16.634127739130435,1.499481608695652,21.10609773913043,18.133609304347825,-4.47197002173913,1310.6948195652174,48.51447795652174,48.51447795652174,48.51447795652174,-0.005865216347826086,0.003071349561826086,-0.02139230296521739,0.0037596022217391296,0.0014600479869565208,-0.0003688323000000008,8077.629608695652,470.0837169565217,-0.0004167954177256798,209.12124347826085,-311.37380869565214,103.24119391304349,-109.67081913043478,14.332617391304343,-67.7356956521739,0.002040207253446448,-0.0030377932555673377,0.0010072311601272536,-0.0010699592110286322,0.00013983041357370094,-0.0006608360551431603,1705062.608695652,153727.95652173914,153727.95652173914,1705062.608695652,1215.3904347826087,3770.0,-0.0005098731404365354,0.9998566277836691,0.9998566277836691
