,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer
10,220000,220,0.99654127,0.013595207,16.641191,1.4947973,21.106038,18.135988,-4.464847499999999,2177.6918,49.068589,48.251519,48.251519,0.06614075700000001,0.0049378569,-0.030292991000000002,-0.018132488999999998,-0.019926604,0.035108484,666.90659,120588.84,0.01100000459465029,801.179,345.30300000000005,-201.535,-198.562,-37.5354,-297.73,0.007816380487804878,0.0033688097560975617,-0.0019661951219512195,-0.0019371902439024391,-0.00036619902439024394,-0.0029046829268292683,1705310.0,153760,153760,1705310.0,1998.7,210.0,0.010500001576191756,1.0000650406504066,1.0000650406504066
11,240000,240,0.99721532,-0.019624095,16.625542000000003,1.4958083999999998,21.105771,18.12135,-4.4802294,3779.531,49.117124,48.194202000000004,48.194202000000004,-0.051468915999999997,0.034372893,-0.041776261,-0.024826674,-0.041929249,-0.017768858000000002,728.0122,120607.35,0.012000010631567212,378.815,251.668,-322.035,31.2574,49.2058,-369.69300000000004,0.0036957560975609755,0.0024552975609756097,-0.0031418048780487806,0.000304950243902439,0.0004800565853658537,-0.0036067609756097567,1704760.0,153598,153598,1704760.0,2807.5,230.0,0.011500007613108678,0.9990113821138212,0.9990113821138212
12,260000,260,1.0014619,-0.053780245,16.638054999999998,1.5021782,21.104038,18.140233,-4.4659828,1945.3752,49.165659000000005,48.237128999999996,48.237128999999996,-0.0059355403,-0.04468236,-0.11072283,-0.01466164,-0.020076683999999997,-0.0090336215,788.9655799999999,120590.35,0.013000016668484425,243.74200000000002,-110.42,113.876,-350.728,10.1161,73.8649,0.002377970731707317,-0.0010772682926829269,0.0011109853658536587,-0.0034217365853658538,9.869365853658536e-05,0.0007206331707317073,1704950.0,153629,153629,1704950.0,2693.62,250.0,0.012500013650025892,0.9992130081300813,0.9992130081300813
13,280000,280,0.99921107,-0.01341182,16.634172,1.498802,21.104508,18.132974,-4.470336799999999,2791.2119,49.214193,48.177176,48.177176,-0.050560165,-0.020854365,0.031179071000000003,0.0038163520000000003,0.0007943056,-0.033528743,849.65785,120530.04,0.014000002101588957,687.923,178.701,-311.324,175.275,98.6833,-305.825,0.006711443902439025,0.0017434243902439024,-0.003037307317073171,0.0017100000000000001,0.0009627639024390244,-0.0029836585365853657,1705100.0,153745,153745,1705100.0,2529.03,270.0,0.013499999083130423,0.9999674796747968,0.9999674796747968
14,300000,300,0.99704361,-0.030067722,16.647535,1.4955508,21.108564,18.143086,-4.4610282,1857.4428,49.262728,48.183355,48.183355,-0.063954628,0.022105926,-0.04835446400000001,-0.017493101,-0.024007907000000002,-7.331732100000001e-05,911.77804,120658.63,0.015000008138506027,1403.87,287.9,-274.41900000000004,263.948,-171.155,-217.77,0.013696292682926828,0.002808780487804878,-0.002677258536585366,0.00257510243902439,-0.0016698048780487806,-0.0021245853658536586,1705240.0,153674,153674,1705240.0,2560.46,290.0,0.014500005120047493,0.9995056910569106,0.9995056910569106
15,320000,320,1.0029911,-0.026211425,16.643810000000002,1.5044719,21.106128,18.148282000000002,-4.4623181,1426.4370000000001,49.311263000000004,48.146889,48.146889,-0.051489497,-0.0043642366,-0.022780542,0.037375319,0.043262830999999995,-0.028627852999999998,973.02668,120655.31,0.016000014175423096,556.941,10.5043,24.5068,-333.39,-287.52,-361.691,0.0054335707317073175,0.0001024809756097561,0.00023909073170731707,-0.0032525853658536582,-0.002805073170731707,-0.003528692682926829,1705670.0,153985,153985,1705670.0,1915.73,310.0,0.015500011156964562,1.001528455284553,1.001528455284553
16,340000,340,0.99761228,0.049474305999999996,16.643836,1.4964038,21.106907999999997,18.140239,-4.4630728,2352.1658,49.359797,48.125733000000004,48.125733000000004,0.0072232545999999995,0.057398617,0.083801047,-0.010704219,-0.0036749871000000003,-0.029856927000000002,1034.2111,120637.69,0.016999999608527626,415.225,210.31599999999997,-277.197,28.1799,-130.898,-462.485,0.004050975609756098,0.002051863414634146,-0.002704360975609756,0.0002749258536585366,-0.0012770536585365853,-0.004512048780487805,1705330.0,153795,153795,1705330.0,2551.61,330.0,0.01649999659006909,1.0002926829268293,1.0002926829268293
17,360000,360,1.0030567,0.038687305,16.629185999999997,1.5045703000000001,21.106328,18.133757,-4.4771422,3118.59,49.408332,48.054955,48.054955,0.029542132999999998,0.056921211,0.029598572000000004,-0.018400523999999998,-0.0043506466999999995,-0.023769375,1095.7954,120659.25,0.018000005645444694,1123.25,423.096,-429.675,112.51899999999999,77.0567,-333.416,0.010958536585365854,0.0041277658536585365,-0.004191951219512195,0.0010977463414634145,0.0007517726829268293,-0.0032528390243902437,1705210.0,153801,153801,1705210.0,2767.24,350.0,0.017500002626986158,1.0003317073170732,1.0003317073170732
18,380000,380,1.0005659,-0.015886542,16.638544,1.5008342,21.109434,18.139379,-4.4708892,2643.1519,49.456866999999995,48.036939000000004,48.036939000000004,0.0081223227,-0.064062585,0.0082806366,-0.01208359,-0.0080495271,-0.04902096400000001,1156.9691,120629.26,0.019000011682361616,694.6160000000001,93.7288,3.6114599999999997,-92.4641,-69.8537,-495.68699999999995,0.006776741463414635,0.0009144273170731708,3.523375609756097e-05,-0.0009020887804878049,-0.0006814995121951219,-0.0048359707317073165,1705120.0,153653,153653,1705120.0,3104.78,370.0,0.01850000866390308,0.9993691056910569,0.9993691056910569
19,400000,400,0.99697068,-0.044872870999999995,16.639938,1.4954413999999998,21.107277,18.135379999999998,-4.467338400000001,3154.0483,49.505402000000004,48.052011,48.052011,-0.08670497099999999,-0.075095967,0.027182325,0.0082912109,0.056680497,-0.041695441,1217.9891,120580.92,0.020000017719278833,673.076,866.3489999999999,-842.186,-408.046,171.91,-96.9103,0.00656659512195122,0.008452185365853657,-0.008216448780487806,-0.003980936585365854,0.001677170731707317,-0.0009454663414634147,1705110.0,153834,153834,1705110.0,3033.45,390.0,0.019500014700820297,1.0005463414634146,1.0005463414634146
20,420000,420,0.99951607,-0.0081730587,16.619364,1.4992595,21.102807000000002,18.118623,-4.4834432,4971.9652,49.553936,47.954685,47.954685,-0.0063986463,-0.013228259,-0.0048922709000000005,-0.022780921000000003,-0.008925934699999999,0.0083204743,1280.1057,120634.72,0.021000003152383363,488.131,-89.7342,-491.046,-53.4681,68.5543,-320.061,0.004762253658536585,-0.0008754556097560975,-0.004790692682926829,-0.00052164,0.0006688224390243902,-0.0031225463414634143,1704870.0,153614,153614,1704870.0,3597.88,410.0,0.020500000133924827,0.9991154471544715,0.9991154471544715
21,440000,440,0.99928147,-0.021333105,16.643444,1.4989076000000001,21.108864999999998,18.142352,-4.4654205000000005,2640.8841,49.602471,48.002261,48.002261,0.0020610075,-0.046481382,-0.019578939,0.031496757,0.0004132295,0.025420277,1341.5292,120615.67,0.02200000918930043,726.0139999999999,379.995,-74.3528,-23.1114,-172.18099999999998,-127.33,0.007083063414634145,0.003707268292682927,-0.0007253931707317074,-0.0002254770731707317,-0.0016798146341463413,-0.0012422439024390244,1705100.0,153689,153689,1705100.0,3392.97,430.0,0.021500006170841895,0.9996032520325203,0.9996032520325203
22,460000,460,1.0000521,0.01095811,16.632434,1.5000635,21.107047,18.132497,-4.474613300000001,3751.7522,49.651006,47.925658,47.925658,0.020876986,0.010600505,0.0013968380999999999,-0.00057970275,0.049937077,0.011244461,1402.9633,120593.85,0.0230000152262175,720.814,187.053,-268.443,-472.454,-116.883,530.956,0.007032331707317073,0.0018249073170731706,-0.0026189560975609753,-0.004609307317073171,-0.0011403219512195121,0.005180058536585366,1705290.0,153878,153878,1705290.0,3117.28,450.0,0.022500012207758966,1.0008325203252033,1.0008325203252033
23,480000,480,1.0024745000000002,0.012943525,16.636257,1.5036969999999998,21.108569,18.139954,-4.4723121,3088.4891,49.69954,47.934971999999995,47.934971999999995,-0.00046218386,0.037282265,0.0020104948,-0.037802359,0.013779929,-0.014889508999999999,1465.0264,120620.5,0.02400000065932203,908.76,278.738,-352.533,-276.254,-56.4824,47.2726,0.008865951219512195,0.0027193951219512194,-0.0034393463414634146,-0.0026951609756097564,-0.0005510478048780488,0.00046119609756097555,1705120.0,153677,153677,1705120.0,3586.54,470.0,0.023499997640863496,0.9995252032520324,0.9995252032520324
24,500000,500,1.0000985,-0.021963861,16.627516,1.5001332,21.106837,18.127648999999998,-4.479320599999999,4449.8594,49.748075,47.869431,47.869431,-0.031971414,-0.040308475,0.0063883066,-0.035171835,-0.0058033091,-0.0084565018,1527.1862,120647.71,0.0250000066962391,393.291,170.38099999999997,-227.727,234.84599999999998,350.658,153.94799999999998,0.0038369853658536584,0.0016622536585365851,-0.0022217268292682927,0.002291180487804878,0.0034210536585365854,0.001501931707317073,1704950.0,153684,153684,1704950.0,3848.2,490.0,0.024500003677780564,0.999570731707317,0.999570731707317
25,520000,520,1.001839,-0.057194379000000004,16.638891,1.5027438999999998,21.108798999999998,18.141635,-4.4699084000000004,3117.3484,49.79661,47.912738,47.912738,-0.093273084,-0.041838362999999996,-0.03647169,0.044554777999999996,0.00043273352,0.011254278000000001,1588.8852,120633.06,0.026000012733156167,737.8789999999999,394.51800000000003,-450.916,238.623,487.398,189.16299999999998,0.007198819512195121,0.003848956097560976,-0.004399180487804878,0.002328029268292683,0.00475510243902439,0.001845492682926829,1705150.0,153809,153809,1705150.0,3621.62,510.0,0.02550000971469763,1.0003837398373983,1.0003837398373983
26,540000,540,1.0008655,-0.0039785385,16.638014000000002,1.5012836,21.105026000000002,18.139298,-4.4670122,3456.4075,49.845145,47.87515,47.87515,-0.036282494,-0.0026673658000000004,0.027014244,-0.018990876,-0.0057234708,-0.015560373999999998,1650.6428,120619.19,0.02700001877007324,153.64,65.7322,13.7089,210.685,177.861,-554.614,0.0014989268292682925,0.000641289756097561,0.00013374536585365854,0.0020554634146341465,0.0017352292682926828,-0.0054108682926829275,1705200.0,153714,153714,1705200.0,3767.74,530.0,0.026500015751614703,0.9997658536585365,0.9997658536585365
27,560000,560,0.99936893,-0.024538976,16.633088,1.4990388000000001,21.105832999999997,18.132126,-4.4727453,4291.5734,49.893679,47.831717,47.831717,-0.062856672,-0.010746148999999998,-1.4108113e-05,0.051634652999999996,-0.00043173252000000003,0.058982676,1712.2412,120590.7,0.028000004203177768,86.9259,61.8571,189.722,-221.905,-45.4028,191.503,0.0008480575609756098,0.0006034839024390244,0.0018509463414634146,-0.0021649268292682927,-0.00044295414634146343,0.001868321951219512,1705210.0,153821,153821,1705210.0,3749.57,550.0,0.027500001184719233,1.0004617886178861,1.0004617886178861
28,580000,580,1.0035755,-0.026898592000000002,16.641725,1.5053485,21.105903,18.147073000000002,-4.4641788,2859.9535,49.942214,47.853621999999994,47.853621999999994,-0.040638363999999996,-0.024384557,-0.015672855,-0.034179711,-0.0755793,-0.0087306721,1773.7215,120551.9,0.029000010240094836,582.0880000000001,-151.275,100.353,39.1923,-45.0497,-478.37300000000005,0.005678907317073172,-0.0014758536585365853,0.0009790536585365854,0.0003823639024390244,-0.0004395092682926829,-0.0046670536585365855,1705450.0,153963,153963,1705450.0,3474.62,570.0,0.0285000072216363,1.0013853658536584,1.0013853658536584
29,600000,600,1.0031429,-0.060145699999999996,16.63654,1.5046997,21.108155,18.14124,-4.4716149000000005,3558.1943,49.990749,47.809573,47.809573,-0.06161204,-0.07100276,-0.047822299000000006,0.0065718267,0.012722728999999999,0.023806237,1835.0764,120503.35,0.030000016277011907,688.049,-194.68200000000002,123.42,-149.155,370.272,-157.188,0.006712673170731707,-0.0018993365853658538,0.0012040975609756098,-0.0014551707317073171,0.003612409756097561,-0.001533541463414634,1705110.0,153680,153680,1705110.0,4196.9,590.0,0.02950001325855337,0.9995447154471544,0.9995447154471544
30,620000,620,0.99825595,-0.024411907000000004,16.640757,1.4973693000000001,21.107696,18.138126,-4.466939599999999,3977.1517,50.039283000000005,47.79398,47.79398,-0.0090903894,-0.083588652,0.019443321,-0.014446408,-0.0031245103,-0.040181065,1896.8646,120481.5,0.031000001710116583,545.2919999999999,-182.898,67.795,-542.929,212.2,24.9932,0.005319921951219511,-0.001784370731707317,0.0006614146341463415,-0.005296868292682926,0.0020702439024390244,0.00024383609756097562,1705430.0,153883,153883,1705430.0,3774.83,610.0,0.030499998691658047,1.0008650406504065,1.0008650406504065
31,640000,640,1.0018357,0.066006636,16.630312,1.5027389,21.106625,18.133051000000002,-4.4763127,4597.3285,50.087818,47.734578000000006,47.734578000000006,0.078722532,0.031617328,0.087680047,0.029819281,0.011075668,0.05027213,1958.1879999999999,120428.56,0.03200000774703351,746.5169999999999,436.055,-774.775,451.00800000000004,564.408,-15.0082,0.0072830926829268285,0.00425419512195122,-0.007558780487804877,0.004400078048780488,0.0055064195121951225,-0.00014642146341463415,1705260.0,153757,153757,1705260.0,4171.6,630.0,0.031500004728574976,1.0000455284552845,1.0000455284552845
32,660000,660,1.0052867,-0.047707652999999996,16.635403,1.5079154,21.106857,18.143318,-4.4714547,3645.3669,50.136353,47.727115999999995,47.727115999999995,-0.016314935,-0.064158696,-0.062649328,0.004282203,0.018032548,0.0086231888,2019.8549,120395.59,0.03300001378395057,986.9760000000001,387.418,-261.687,550.163,506.741,420.805,0.009629034146341465,0.0037796878048780486,-0.0025530439024390246,0.005367443902439024,0.004943814634146342,0.004105414634146341,1705020.0,153638,153638,1705020.0,4624.62,650.0,0.03250001076549204,0.9992715447154471,0.9992715447154471
33,680000,680,0.9932235,-0.089800881,16.637832,1.4898207,21.109415,18.127653,-4.4715832,5351.9392,50.184886999999996,47.705878000000006,47.705878000000006,-0.11064233,-0.065817718,-0.09294259699999999,0.031651156,-0.024413999,-0.035527084,2082.3318,120407.77,0.033999999217055106,1385.21,185.47299999999998,-61.9349,7.9245,-135.816,6.1892,0.013514243902439025,0.001809492682926829,-0.0006042429268292682,7.731219512195122e-05,-0.0013250341463414634,6.038243902439024e-05,1705130.0,153735,153735,1705130.0,4523.75,670.0,0.033499996198596574,0.9999024390243902,0.9999024390243902
34,700000,700,0.9978724,-0.014940239,16.633792,1.496794,21.104819,18.130585999999997,-4.471027200000001,5151.3526,50.233422,47.681876,47.681876,-0.05444352,0.044647795,-0.035024992000000005,-0.020104628,0.018827966,0.025274395,2143.8288,120360.67,0.03500000525397218,1151.22,66.2294,-49.1798,-365.171,-106.916,35.4739,0.011231414634146342,0.000646140487804878,-0.0004798029268292683,-0.0035626439024390244,-0.0010430829268292684,0.0003460868292682927,1705000.0,153617,153617,1705000.0,4873.28,690.0,0.034500002235513645,0.9991349593495934,0.9991349593495934
35,720000,720,1.0022398000000001,-0.0017235268,16.635281,1.5033450000000002,21.109278,18.138626000000002,-4.473996499999999,4427.6532,50.281957,47.661834999999996,47.661834999999996,-0.014349097,0.06449650700000001,-0.055317991,0.026770832999999997,0.045866559,0.033375258,2205.7442,120335.6,0.03600001129088924,1378.13,-130.654,-157.872,96.8632,-374.13800000000003,-133.96,0.013445170731707317,-0.0012746731707317072,-0.0015402146341463416,0.0009450068292682928,-0.003650126829268293,-0.0013069268292682928,1705200.0,153813,153813,1705200.0,4573.99,710.0,0.03550000827243071,1.0004097560975609,1.0004097560975609
36,740000,740,0.99993644,0.032038168,16.630035999999997,1.49989,21.104113,18.129926,-4.4740768,5419.7317,50.330492,47.615499,47.615499,0.010565186,0.044719769000000006,0.040829549,-0.044946299,0.026807047999999997,-0.0059586472,2268.0904,120331.39,0.03700001732780631,1244.85,-294.374,295.14,721.5089999999999,332.7,-505.9,0.012144878048780486,-0.002871941463414634,0.002879414634146341,0.00703911219512195,0.0032458536585365854,-0.004935609756097561,1705240.0,153737,153737,1705240.0,4714.8,730.0,0.03650001430934778,0.9999154471544714,0.9999154471544714
37,760000,760,0.99969275,-0.0092449755,16.633246,1.4995245000000001,21.108304999999998,18.13277,-4.4750597,5229.1826,50.379026,47.599447,47.599447,0.0015420761,-0.08494261199999999,0.05566561,0.03403921,-0.02260737,0.010303409,2329.7969,120291.09,0.03800000276091099,2510.97,-45.7796,162.659,-203.169,-14.8038,181.071,0.024497268292682926,-0.00044663024390243904,0.0015869170731707316,-0.0019821365853658537,-0.00014442731707317073,0.0017665463414634145,1705070.0,153591,153591,1705070.0,5128.49,750.0,0.03749999974245246,0.9989658536585366,0.9989658536585366
38,780000,780,1.0029138000000002,-0.0038083673999999997,16.638575,1.5043561,21.107379,18.142931,-4.4688039,4288.0576,50.427561,47.599721,47.599721,0.0021174369,0.039340006000000004,-0.052882545,0.031229568,0.015419172,0.01786795,2391.619,120255.51,0.03900000879782791,1901.92,-297.808,408.13199999999995,-218.63400000000001,61.6391,-91.9975,0.01855531707317073,-0.0029054439024390243,0.003981775609756097,-0.0021330146341463417,0.0006013570731707317,-0.0008975365853658537,1705100.0,153709,153709,1705100.0,5081.94,770.0,0.03850000577936938,0.9997333333333334,0.9997333333333334
39,800000,800,0.99735806,-0.0058718599,16.642068,1.4960225,21.103410999999998,18.138091,-4.4613431,4884.0848,50.476096000000005,47.596305,47.596305,-0.060106377999999995,-0.009650299499999999,0.052141097000000004,-0.027656615,0.015839136,0.02532142,2453.5416,120223.54,0.04000001483474513,1342.48,-274.152,94.6696,-7.99825,-84.0025,-38.605,0.013097365853658536,-0.0026746536585365854,0.0009236058536585366,-7.803170731707317e-05,-0.0008195365853658536,-0.0003766341463414634,1705310.0,153781,153781,1705310.0,4895.3,790.0,0.039500011816286595,1.0002016260162603,1.0002016260162603
40,820000,820,0.99997589,-0.034167903,16.64086,1.4999492,21.104759,18.140809,-4.463899,4704.9946,50.52463,47.557645,47.557645,0.0057992307,-0.026792833,-0.081510107,0.025371416,-0.020414998,-0.010841318999999999,2515.6197,120197.54,0.04100000026784966,706.79,140.459,12.327,27.4544,-23.0925,114.587,0.006895512195121951,0.0013703317073170732,0.00012026341463414634,0.0002678478048780488,-0.00022529268292682927,0.0011179219512195122,1705400.0,153802,153802,1705400.0,4882.34,810.0,0.04049999724939113,1.0003382113821138,1.0003382113821138
41,840000,840,0.99966969,-0.029458707,16.644958,1.4994899,21.106215,18.144448,-4.4612576,4431.6241,50.573165,47.555237,47.555237,-0.06235389,-0.027943501000000003,0.0019212686999999999,-0.020687228999999998,-0.013824945,-0.0007752162,2577.8333,120176.13,0.042000006304766725,662.248,-471.36199999999997,417.569,-278.737,179.15900000000002,-322.522,0.006460956097560976,-0.004598653658536585,0.004073843902439024,-0.002719385365853659,0.0017478926829268295,-0.0031465560975609754,1705480.0,153936,153936,1705480.0,4770.0,830.0,0.04150000328630819,1.001209756097561,1.001209756097561
42,860000,860,0.99902886,-0.012871944,16.641702,1.4985287,21.105832,18.140231,-4.464129499999999,4963.1192,50.6217,47.524163,47.524163,-0.013835591000000001,-0.059301864,0.034521623,0.020980811000000002,0.0065476786,0.010344899,2640.172,120158.52,0.04300001234168365,1723.06,31.3393,-21.303,-515.883,78.7387,-13.9673,0.016810341463414633,0.00030574926829268295,-0.00020783414634146342,-0.005033004878048781,0.0007681824390243902,-0.00013626634146341463,1705140.0,153644,153644,1705140.0,5500.87,850.0,0.04250000932322512,0.999310569105691,0.999310569105691
43,880000,880,0.99970907,-0.005586850799999999,16.634521,1.499549,21.108324,18.13407,-4.4738026,5693.7647,50.670235,47.459407,47.459407,-0.010416246,0.0083093842,-0.014653691000000002,0.018577607,-0.012679747,0.011406457,2702.7804,120150.87,0.044000018378600715,939.425,-162.615,243.423,76.7861,228.247,-223.676,0.009165121951219511,-0.001586487804878049,0.002374858536585366,0.0007491326829268294,0.0022268,-0.0021822048780487805,1705420.0,153869,153869,1705420.0,5092.57,870.0,0.04350001536014218,1.0007739837398373,1.0007739837398373
44,900000,900,0.99592947,-0.053015651,16.637805,1.4938796,21.108012,18.131685,-4.4702071,6036.4935,50.718769,47.468414,47.468414,-0.055685115,-0.045532669000000005,-0.057829168,0.01684643,0.0295693,0.051063649,2765.8768,120161.98,0.045000003811705394,567.513,-598.288,-58.2345,59.6061,-225.058,-21.7946,0.005536712195121952,-0.005836956097560976,-0.0005681414634146341,0.0005815229268292683,-0.0021956878048780487,-0.00021263024390243902,1705030.0,153661,153661,1705030.0,5790.53,890.0,0.04450000079324686,0.9994211382113821,0.9994211382113821
45,920000,920,1.0015969,-0.056927804000000005,16.638197,1.5023806999999998,21.107737,18.140578,-4.46954,5224.6127,50.767303999999996,47.4408,47.4408,-0.10929152,-0.015112601000000002,-0.046379288,0.021814464,-0.0011726631,0.05463702,2827.6636,120114.23,0.04600000984862232,1853.61,113.53399999999999,508.67900000000003,-273.822,256.279,-451.29400000000004,0.018084,0.0011076487804878047,0.004962721951219513,-0.0026714341463414636,0.0025002829268292682,-0.004402868292682927,1705230.0,153668,153668,1705230.0,5684.28,910.0,0.04550000683016379,0.9994666666666666,0.9994666666666666
