,Time_Binned,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],c_pxx_filler[1],c_pxx_filler[2],c_pxx_filler[3],c_pxx_filler[4],c_pxx_filler[5],c_pxx_filler[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_pe_filler,c_ke_filler,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer,c_temp_filler
0,"[20.0, 423.848)",220000.0,220.0,0.9994815823809524,-0.010959064904761898,11.067268952380951,1.4992126333333335,14.554234142857142,12.566481571428572,-3.486965261904762,1445.9338771428568,53.97813142857142,53.115461333333336,53.115461333333336,-0.013727193038095241,-0.012531265619047615,-0.006618735371428572,-0.0018430565904761897,-0.008383613714285717,0.01754852306666666,1162.6954328571428,209846.89142857143,0.011000005180129668,-433.1147428571429,-1127.3677142857139,-1565.4362857142855,-138.75461095238092,-155.5763761904762,417.6885304761904,2654.706666666666,1402.9406190476188,1262.8281047619048,226.41505238095246,117.25577619047618,-277.76934761904766,0.01443060684514143,0.001790015620408605,-0.001965626378385066,0.0005694085185357026,-0.00024891588177979864,0.0009088612072565306,1689292.857142857,153806.7619047619,14301.623809523811,77132.96666666667,230939.72857142857,1703594.480952381,1444.8158095238095,210.0,0.010500003606825868,1.0000637807575128,1.0003691831204027,0.999455350394126
1,"[423.848, 827.697)",630000.0,630.0,0.9991169825000001,-0.018550517499999995,11.06840715,1.4986657399999996,14.553699100000003,12.567072800000002,-3.485291975,4505.678870000001,55.072643500000005,52.5921398,52.5921398,-0.03792249408,-0.003589738875999997,-0.014139318899999994,0.0088234931,0.009289383589999997,0.0164841901,3346.1356250000003,209011.41850000003,0.031500005469103844,316.069185,-858.2642899999998,-670.518655,44.971895,-185.98851,422.65127199999995,3226.3719999999994,879.5398000000001,623.4399999999998,256.026765,-286.7176300000001,107.74795750000001,0.023010335725885026,0.00013819753166612555,-0.0003058048392335175,0.001955171549204287,-0.003070517310815201,0.0034452694348814546,1689543.5,153795.35,14332.529999999999,77081.725,230877.075,1703876.03,4376.937,620.0,0.031000003895800033,0.999792465086067,1.0002949593495933,0.9987913832199544
2,"[827.697, 1231.545)",1030000.0,1030.0,0.999507238,-0.024688761994999996,11.06768845,1.4992511000000002,14.553915599999996,12.566939549999999,-3.4862270949999994,7562.239765000001,56.14046014999999,52.08988895,52.08988895,-0.023974761584999997,-0.017507722250000003,-0.03258380086000002,0.006921529305,0.01809852282,0.0026030547950000003,5563.446865000001,210370.98549999995,0.051500005656401907,942.92892,-737.3157100000001,-766.2747999999999,43.603399500000016,-109.03392550000001,153.13349499999998,3866.318,959.9153750000002,509.72849400000007,274.88192,412.689085,27.497633499999978,0.03123901864241637,0.0014459218252679442,-0.0016664261513478402,0.002068758164988632,0.0019724271484248134,0.0011733103507632352,1689409.0,153706.95,14384.335000000001,77168.69499999999,230875.64500000002,1703793.3350000002,7496.9975,1020.0,0.05100000408309809,0.9997862725993288,0.9997199999999999,0.999918302559119
3,"[1231.545, 1635.394)",1430000.0,1430.0,1.0000566975000003,-0.024113583663499995,11.068348400000001,1.5000753049999997,14.553629850000002,12.568423699999999,-3.485281455,10335.084164999998,57.2082768,51.605667,51.605667,-0.05550972834999999,-0.0015284920965000005,-0.015302530804999997,0.00848135652,-0.022683936070000004,-0.030306829395000002,7811.444485000002,210653.40699999998,0.0715000058437,1654.59025,-460.268955,-801.8219999999999,-66.01744500000002,71.91766100000001,322.730865,4093.2405,312.7202965,911.5241,257.1568525,30.91756499999998,-5.340830000000006,0.03733569827866191,-0.0009584193471906466,0.0007125826567067229,0.001241568090289055,0.0006679780837934395,0.002061643618057811,1689707.5,153873.8,14288.005000000001,77038.94999999998,230912.75000000006,1703995.5050000001,10260.187500000004,1420.0,0.07100000427039621,0.9999469524737471,1.0008052032520325,0.9982371234207967
4,"[1635.394, 2039.242)",1830000.0,1830.0,0.9999940229999998,0.004012435533500001,11.068860449999999,1.499981285,14.553715899999997,12.5688417,-3.4848554849999998,13229.00745,58.276093300000014,51.1317678,51.1317678,-0.027371605600000005,0.010670320610000002,0.028738591885000005,0.00461343747,-0.007396265765,0.004988486594999998,10058.834555,209781.38600000003,0.09150000322152695,2049.871,-317.54813999999993,-167.72188699999998,-125.8159895,174.226585,112.75042499999999,3929.2880000000005,236.68884000000008,208.49307499999995,306.2741775,-113.65656999999999,76.6730995,0.03883831763559597,-0.0005252309191295878,0.00026483395907762246,0.0011721869957778495,0.0003934395258200714,0.0012304223741474505,1689741.0,153812.2,14392.804999999998,77135.21,230947.41,1704133.8050000002,13048.465,1820.0,0.09100000164822317,1.0000970444949662,1.0004045528455285,0.9994844185293162
5,"[2039.242, 2443.091)",2240000.0,2240.0,0.9998601095238095,-0.005296685571428572,11.069611333333333,1.4997804238095238,14.554421285714284,12.569391714285716,-3.4848100047619046,16128.987666666666,59.37060542857144,50.65997861904761,50.65997861904761,-0.01993843640476191,-0.010171805600000004,0.01422018426190476,-0.00765537379047619,0.01686273820952381,-0.0018832396190476195,12394.300285714286,208911.0471428572,0.11200000458077583,2577.311428571429,-363.43220952380943,27.828064285714294,-223.04769047619044,190.02478571428568,6.322188095238094,4075.7609523809524,270.7224285714286,19.905000000000054,273.64132380952384,-12.267632857142852,176.96590952380947,0.04321579981131784,-0.0006022070864071512,0.0003100556303066862,0.0003286367868355527,0.001154642110147079,0.0011905690004485067,1689677.142857143,153792.33333333334,14433.285714285714,77176.7,230969.03333333335,1704110.4285714282,16033.885714285716,2230.0,0.11150000300747202,1.000190682400491,1.0002753387533878,1.0000220278587628
6,"[2443.091, 2846.939)",2650000.0,2650.0,0.9995233095000003,-0.03825029068,11.0689205,1.49927521,14.552884500000001,12.5681958,-3.483964015,19256.15845,60.465117500000005,50.20280919999999,50.20280919999999,-0.07213187674549998,-0.023523176614999995,-0.019095818815,-0.001478529435000001,0.008361847302,0.0023231249524999983,14731.372499999998,207617.82849999997,0.13250000486975005,3272.6549999999997,-201.66179150000002,-86.23824500000002,161.34839,90.50684949999997,6.042020000000001,4101.326500000001,493.6079000000001,-238.511501,531.280775,107.24372000000001,263.95520750000003,0.047898548229944785,0.0018963696557323807,-0.00210944947060734,0.004499052711919454,0.0012845116563819424,0.0017537981649886326,1689833.5,153823.1,14348.789999999999,77056.845,230879.94500000007,1704182.2900000003,18997.639999999996,2640.0,0.13200000329644623,0.9998048933636463,1.000475447154472,0.9984689990281825
7,"[2846.939, 3250.788)",3050000.0,3050.0,0.9989427794999999,-0.030597846345000002,11.069195499999998,1.4984044200000002,14.55357965,12.5675998,-3.4843842399999994,22173.94565,61.53293415,49.76143445000001,49.76143445000001,-0.07496889510500002,-0.014478828650000001,-0.002345815274499998,0.003108542449999999,0.0035835409850000013,-0.006992348565000001,17027.866150000005,206277.88849999997,0.1525000050570481,3852.3700000000003,250.15515,529.0352849999999,-8.804874499999991,-1.1887964999999978,299.19645299999996,3929.1884999999993,-265.781605,-530.2727600000003,418.32714,227.74596000000003,43.699049999999986,0.05054601169210783,-0.00010150344267619345,-8.03816174082513e-06,0.0026600991588177983,0.0014716282137057486,0.002227317330302046,1689602.0,153632.2,14466.700000000003,77238.31,230870.51,1704068.7,21946.535,3040.0,0.15200000348374432,0.9997640359424056,0.9992338211382116,1.0008203433754452
8,"[3250.788, 3654.636)",3450000.0,3450.0,1.000825676,0.001864805250000001,11.070872650000002,1.5012287800000002,14.553638000000001,12.57210155,-3.482765325,24271.585,62.60075085,49.3401978,49.3401978,-0.05299054899000001,0.028836673506999994,0.02974828985000001,0.009647654664999996,0.0004676516285000001,-0.018964657505,19327.908199999998,204757.8875,0.17250000618083652,4233.033,290.87926500000003,681.34356,-125.98691999999998,41.80757,194.09675399999998,4614.114500000001,-599.7609300000001,-403.24795,644.6122499999999,-357.83605499999993,-1.3513249999999957,0.057467668074049995,-0.002006376518350114,0.0018064021435531016,0.0033687907112698915,-0.0020527995128288407,0.0012520001883728486,1689938.5,153792.15,14447.65,77145.80500000001,230937.955,1704386.1499999997,24352.69,3440.0,0.17200000460753276,1.0000561004655188,1.0002741463414633,0.9996217039196631
9,"[3654.636, 4058.485)",3850000.0,3850.0,1.0005035285,-0.0266257774835,11.0712079,1.5007455400000003,14.553914650000001,12.5719534,-3.48270683,27052.319150000003,63.66856750000001,48.92388245000001,48.92388245000001,-0.06550519207,-0.02396519136,0.009593051347499998,0.006748140355000001,0.007648943620000001,0.001608118380000001,21624.406949999997,203039.77400000003,0.19250000636813458,4418.289500000001,401.1750449999999,368.531095,-90.15048399999999,-75.30335600000002,111.99430500000003,4434.560500000001,-122.99883649999997,-666.2591499999999,268.04878700000006,-527.5170299999999,30.978875000000006,0.05750470932120818,0.001806925680415719,-0.001933926956804157,0.001155558967197142,-0.003915689418642417,0.0009286987983111398,1689945.5,153798.6,14480.36,77181.225,230979.825,1704425.86,27031.295000000002,3840.0,0.19200000479483084,1.000237414745047,1.0003160975609755,1.000080660835763
