,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],c_pxx_filler[1],c_pxx_filler[2],c_pxx_filler[3],c_pxx_filler[4],c_pxx_filler[5],c_pxx_filler[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_pe_filler,c_ke_filler,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer,c_temp_filler
10,220000,220,0.99663219,-0.022582501,11.059959,1.4949386,14.552273000000001,12.554897,-3.4923144,3226.2329999999997,53.978131000000005,53.094127,53.094127,-0.0086138438,-0.09450316199999999,0.035369503999999996,0.005774954499999999,0.06785425,0.052222889,1161.594,210037.32,0.01099999715306944,-1282.61,-1261.83,-2274.83,-253.60299999999998,-315.339,479.881,1405.87,1442.86,1648.78,309.574,-352.463,343.783,0.0008006495615459564,0.0011759012666450145,-0.004066580058460539,0.00036356609288730127,-0.004337784995128289,0.005350204611886976,1688870.0,153604,14379.1,77280.0,230884.0,1703249.1,1844.8,210.0,0.01049999557976564,0.9998224531774385,0.9990504065040651,1.0013605442176872
11,240000,240,0.99833507,-0.16083624,11.06731,1.4974929,14.554426000000001,12.564803,-3.4871159,1856.9671,54.031521999999995,53.104780000000005,53.104780000000005,-0.22371249,-0.12158331,-0.13721291,-0.0511034,0.017893903,0.097452754,1267.7253,210019.83,0.012000000299676907,-117.51799999999999,-824.615,-1163.01,240.174,-167.265,1023.86,3524.65,861.1139999999999,1633.5,416.05,490.18,116.71600000000001,0.022131419291977917,0.00023708346865865482,0.00305612211757064,0.0042625787593374475,0.0020975316661253655,0.0074087430984085744,1689050.0,153622,14196.1,77080.0,230702.0,1703246.1,2185.82,230.0,0.011499998726373107,0.9990343185016781,0.9991674796747968,0.9987690314220926
12,260000,260,1.001831,0.028741943,11.064156,1.5027367,14.551860000000001,12.566892999999999,-3.487704,1689.4337,54.084913,53.038628,53.038628,-0.021520566,0.066433076,0.04131332,0.045229482,-0.0070850451,0.0042632378,1373.0108,209859.42,0.013000003446284639,-781.702,-1455.33,-1880.95,-78.6504,-351.478,500.963,3211.26,1549.35,1672.61,334.586,1028.96,-490.10400000000004,0.01578147450470932,0.0006107177655082818,-0.0013532965248457302,0.0016624592400129913,0.004400662552776875,7.053588827541397e-05,1689220.0,153788,14310.9,77103.8,230891.8,1703530.9,1866.7,250.0,0.012500001872980839,0.9998562303778283,1.0002471544715448,0.9990774214447684
13,280000,280,0.99791877,-0.018218869,11.066205,1.4968683999999999,14.553807999999998,12.563074,-3.4876023000000003,2431.863,54.138304000000005,53.031291,53.031291,-0.05822019900000001,-0.12125015,0.12481374,0.07835950700000001,-0.031042842999999997,0.0069584266,1478.4215,209724.64,0.014000006592892373,-458.05800000000005,-28.314,-1915.81,-227.342,-193.729,301.48,3155.81,1675.1,124.271,681.706,-101.573,-906.97,0.01752355959727184,0.010696888600194868,-0.01163714842481325,0.002951373822669698,-0.0019181682364404029,-0.003933030204611887,1689500.0,153849,14113.2,76905.2,230754.2,1703613.2,2075.8,270.0,0.013500005019588573,0.9992603659196708,1.0006439024390243,0.996504049238743
14,300000,300,1.0031288,0.11297623,11.071044,1.5046834999999998,14.555592,12.575728,-3.4845483,639.5090700000001,54.191694999999996,53.012128000000004,53.012128000000004,0.080321368,0.18465403,0.073953299,-0.040104528,0.067403769,0.027452292000000003,1585.5504,209821.17,0.01500000973949984,-53.8396,-382.574,-1281.6,-585.174,-138.048,551.76,2978.3,217.896,1422.95,533.07,-671.293,-578.568,0.018996170185125043,-0.0010696849626502113,0.0009181552452094845,-0.00033844754790516353,-0.00525716791165963,-0.00017413445924001293,1689750.0,153978,14272.0,77022.1,231000.1,1704022.0,1577.4,290.0,0.01450000816619604,1.000325213814009,1.0014829268292682,0.9980187884677681
15,320000,320,1.0007715,0.058678460999999994,11.068589,1.5011473999999998,14.551414000000001,12.569736,-3.4828251000000003,1716.4239,54.245086,52.998825,52.998825,0.092049235,0.19381056,-0.10982441,0.045439197,-0.070735254,0.057870095999999996,1692.6862,209893.09,0.016000012886107574,196.502,-625.7130000000001,-765.562,-677.177,-1028.29,-4.24676,2747.25,1683.43,-43.9918,-172.65400000000002,-744.069,-905.908,0.01912148100032478,0.0068705228970444955,-0.005258550178629425,-0.005520175381617408,-0.011512562520298798,-0.005912015329652485,1689970.0,154104,14306.3,77022.9,231126.9,1704276.3,1342.17,310.0,0.015500011312803774,1.0008743098408575,1.0023024390243902,0.9980291545189504
16,340000,340,0.99924698,0.079201914,11.067457000000001,1.4988607,14.552226999999998,12.566317999999999,-3.4847699999999997,2395.6351,54.298476,52.957012,52.957012,0.034895366000000004,0.13818661,0.064523764,0.041902737,-0.022184647999999998,0.051501078,1798.3503,209772.27,0.016999997302907827,-134.19799999999998,-828.225,-948.924,-307.512,-112.588,12.2927,1736.2,435.662,938.654,575.752,-735.69,-461.325,0.010405988957453718,-0.0025499382916531342,-6.670997076973031e-05,0.00174238389087366,-0.005510087690808704,-0.002916741149723936,1689500.0,153870,14270.7,77044.2,230914.2,1703770.7,2213.8,330.0,0.016499995729604026,0.9999532315686912,1.000780487804878,0.9983051506316811
17,360000,360,0.9967118,0.015145978000000001,11.077181,1.495058,14.559531,12.572239,-3.4823496,1639.8444,54.351867000000006,52.942197,52.942197,0.053120266,-0.00604246,-0.0016398708,0.009503303000000001,-0.054499633,-0.0058813660999999995,1904.5178,209708.58,0.01800000044951556,-236.109,-1034.81,-1426.98,-544.2230000000001,83.9553,501.095,3781.25,1857.06,808.043,59.2452,328.332,-473.27099999999996,0.023027872685936993,0.005341019811627152,-0.004020376745696655,-0.003150229295225723,0.0026780597596622276,0.00018073400454693127,1689390.0,153917,14214.9,77043.5,230960.5,1703604.9,2489.83,350.0,0.01749999887621176,1.0001537295658762,1.0010861788617886,0.9982960803368968
18,380000,380,1.0002351,0.051630173,11.061967,1.5003429,14.551560999999998,12.56231,-3.4895939,3321.4594,54.405257999999996,52.895555,52.895555,0.024278992000000003,0.018788513,0.11182301,-0.04399789,0.022055986,-0.026448267,2010.7178,209643.79,0.019000003596123027,129.971,-1042.46,-1525.63,143.782,-247.101,944.904,3254.61,1210.87,920.6610000000001,326.937,262.103,289.133,0.02198493666774927,0.001093926599545306,-0.003929645988957454,0.0030576096135108803,9.744722312439109e-05,0.00801582981487496,1689440.0,153823,14372.6,77172.3,230995.3,1703812.6,2407.06,370.0,0.018500002022819227,1.0003044278445383,1.0004747967479675,0.9999650145772596
19,400000,400,0.99879595,-0.089066312,11.07653,1.4981841999999999,14.555898000000001,12.574714,-3.4793682,1568.19,54.458649,52.929787,52.929787,-0.089939635,-0.099036039,-0.078223263,0.015349086000000001,0.050218255,0.02284218,2117.6142,209643.81,0.02000000674273076,386.48900000000003,-682.1339999999999,-1630.62,-313.265,-654.3330000000001,527.78,4188.56,1941.09,538.214,-578.6990000000001,161.356,-183.315,0.029717759012666455,0.008177694056511855,-0.007095849301721338,-0.005793855147775252,-0.003202189022409874,0.0022375121792789867,1689350.0,153863,14411.8,77203.2,231066.2,1703761.8,2539.75,390.0,0.01950000516942696,1.0006114539352604,1.0007349593495936,1.0003654033041787
20,420000,420,0.99878526,0.014753803999999999,11.069042999999999,1.4981681999999998,14.553729,12.567211,-3.4846858999999997,2877.8801,54.51204,52.85831999999999,52.85831999999999,-0.019796857,0.09010827699999999,-0.026050009,-0.032255518,0.037877206000000004,0.044698539,2223.4518,209533.86,0.02100000988933836,417.431,-1124.98,-1338.97,-520.089,-705.6569999999999,413.783,3222.14,810.0310000000001,1871.36,-618.427,525.4630000000001,-655.6610000000001,0.023641253653783695,-0.002045787593374472,0.0034582007145176996,-0.007395362130561871,-0.0011704709321208174,-0.0015711464761286134,1689240.0,153694,14336.9,77203.1,230897.1,1703576.9,3045.79,410.0,0.02050000831603456,0.999879181552452,0.9996357723577236,1.0003641075477812
21,440000,440,1.0001943000000002,0.10091693,11.061345,1.5002817,14.553982999999999,12.561627,-3.4926383999999997,3889.7826,54.565431000000004,52.812829,52.812829,0.16022888,0.098392712,0.044129207999999996,-0.061942393,-0.06707850900000001,0.11101513,2329.1436,209411.18,0.022000013035946092,-676.2260000000001,-745.002,-1913.89,-69.039,-692.595,11.1652,3146.46,1102.68,1236.36,406.685,-368.195,-648.819,0.01604569015914258,0.002323338746346217,-0.004400974342318936,0.0021932185774602144,-0.006890483923351737,-0.004141953881130237,1689300.0,153684,14280.3,77146.5,230830.5,1703580.3,3262.69,430.0,0.021500011462642292,0.9995907762260474,0.999570731707317,0.9996307094266278
