,Time_Binned,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_polymer[4],c_pxx_polymer[5],c_pxx_polymer[6],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,c_pe_polymer,c_ke_polymer,c_ke_total,c_pe_total,f_npt,Time_shift,v_shear_shift,v_temp_avg,c_temp_polymer
23,"[9308.515, 9712.364)",9510000.0,9510.0,0.9992156294999999,-0.02275352556,16.6394406,1.498808815,21.106307150000003,18.1382494,-4.4668664950000005,41960.34490000001,71.61296074999998,39.9489138,39.9489138,-0.06851699203499999,0.005792536650000001,-0.005536121729999999,-0.00442116988,0.0010005337300000006,0.008835732108,30340.373699999996,97274.09244999998,0.47550001177507883,6098.9335,-156.52974035,140.48007900000002,-45.06603,90.73268499999999,-130.93552,0.05950179024390244,-0.0015271194180487804,0.0013705373560975607,-0.00043966858536585387,0.0008851969268292685,-0.0012774197073170733,1705521.5,153759.45,153759.45,1705521.5,41813.195,9500.0,0.4750000087566205,1.000061463414634,1.000061463414634
24,"[9712.364, 10116.212)",9910000.0,9910.0,0.9995363565,-0.020131201005000002,16.63978405,1.49928989,21.1065052,18.139073999999997,-4.466721,43339.29179999999,72.58365495,39.68299090000001,39.68299090000001,-0.045807557999999984,-0.0011393983099999981,-0.013446646677500002,-0.000813416503849999,-0.007456103675000002,-0.004982567584999998,31625.90095,96026.46625000001,0.4955000130113077,6245.329500000002,-11.735485,5.625925000000007,-98.538399,153.47916500000002,-229.01051999999999,0.06093004390243899,-0.00011449253658536584,5.4887073170731835e-05,-0.0009613502341463416,0.0014973577073170731,-0.002234248975609756,1705470.0,153713.65,153713.65,1705470.0,43373.829999999994,9900.0,0.49500000999284915,0.9997635772357724,0.9997635772357724
25,"[10116.212, 10520.061)",10320000.0,10320.0,0.9993240338095238,-0.01961963823571429,16.639684142857142,1.498971433333333,21.106702571428574,18.138655571428572,-4.4670184285714285,44868.92814285714,73.57861642857142,39.41259485714286,39.41259485714286,-0.059975029161904767,-0.004331118475238096,0.005447232918571428,0.002920061133333333,0.0009265810252380959,-0.0014934230047619062,32970.157047619046,94820.33947619048,0.5160000127037221,6961.536190476189,274.64750095238094,-276.9156428571428,-113.27581428571428,108.91136666666668,-91.32527504761909,0.0679174262485482,0.00267948781416957,-0.002701616027874564,-0.0011051298954703834,0.0010625499186991871,-0.0008909782931475029,1705577.619047619,153722.80952380953,153722.80952380953,1705577.619047619,44743.971428571436,10310.0,0.5155000096852638,0.9998231513743709,0.9998231513743709
26,"[10520.061, 10923.909)",10730000.0,10730.0,0.9999456735000003,-0.023389478720000002,16.639465850000004,1.4999038700000002,21.10749095,18.139369800000004,-4.46802512,46267.9937,74.57357794999999,39.14746649999999,39.14746649999999,-0.06373318143000001,-0.0004619971549999994,-0.0059732581515,-0.0012902089149999997,-0.0019668892699999997,-0.012261782555499997,34344.36229999999,93686.04805,0.5365000132791572,7156.382,125.25634874999999,-140.45657,-270.75104999999996,-5.080210000000025,248.9278000000001,0.06981836097560976,0.0012220131585365854,-0.0013703079999999998,-0.0026414736585365856,-4.956302439024399e-05,0.0024285639024390245,1705625.0,153771.0,153771.0,1705625.0,46121.225,10720.0,0.5360000102606988,1.0001365853658535,1.0001365853658535
27,"[10923.909, 11327.758)",11130000.0,11130.0,1.0000458710000002,-0.010170822035,16.641706750000004,1.5000541699999999,21.1083036,18.141760800000004,-4.466596899999999,47441.675050000005,75.54427204999999,38.89518975,38.89518975,-0.053508631125000004,0.01625281631,0.006743348945000002,-0.004484382835,-0.0037276377299999995,-0.01189634802,35693.2918,92583.75835,0.5565000124550048,7310.488000000002,216.440725,-223.13908999999998,-116.90173999999998,-30.571855,10.978558500000002,0.07132183414634147,0.0021116168292682922,-0.002176966731707317,-0.0011405047804878047,-0.000298262,0.00010710788780487806,1705654.5,153786.65,153786.65,1705654.5,47495.87500000001,11120.0,0.5560000094365463,1.00023837398374,1.00023837398374
28,"[11327.758, 11731.606)",11530000.0,11530.0,0.9997200990000001,-0.031027213315000003,16.6393507,1.4995655300000001,21.1068924,18.138916200000004,-4.46754189,49140.2584,76.51496625,38.6504671,38.6504671,-0.08267711183500001,-0.01394542215515,0.0035408947585000004,0.009679255745000004,-0.006011962069999999,-0.0038079254925,37047.1563,91476.52679999999,0.5765000136912335,7700.394499999999,215.6268448,-222.05046499999997,-168.5247655,-24.203015000000022,59.799245,0.0751258,0.0021036765346341456,-0.0021663460000000004,-0.0016441440536585365,-0.00023612697560975614,0.0005834072682926828,1705656.5,153778.95,153778.95,1705656.5,48909.704999999994,11520.0,0.576000010672775,1.0001882926829269,1.0001882926829269
29,"[11731.606, 12135.455)",11930000.0,11930.0,1.000329609,-0.019056803315000002,16.639998,1.5004797849999998,21.10693155,18.14047785,-4.46693352,50372.03134999999,77.48566035000002,38.40551910000001,38.40551910000001,-0.06744782485,-7.71314000000134e-06,0.010285127514999999,-0.006077889804000001,-0.0025520443484999995,-0.007485068787999999,38404.63845,90361.29364999999,0.596500012867081,7933.321000000001,136.99471749999998,-163.84702000000001,-51.569465,101.177265,-49.953035,0.0773982536585366,0.0013365338292682927,-0.0015985075121951221,-0.0005031167317073171,0.000987095268292683,-0.0004873466829268293,1705563.0,153734.4,153734.4,1705563.0,50439.72000000001,11920.0,0.5960000098486224,0.9998985365853658,0.9998985365853658
30,"[12135.455, 12539.303)",12330000.0,12330.0,1.000311407,-0.0229430386755,16.6398316,1.50045248,21.106430000000003,18.140284150000003,-4.466598380000001,51770.632900000004,78.45635455,38.168878649999996,38.168878649999996,-0.073231726905,0.004710211879999995,-0.00030760089000000067,0.0030316274079999995,-0.007381887520500001,0.0024436577234999996,39766.883350000004,89241.01600000002,0.6165000141033098,8341.4005,20.53117399999999,-18.198018500000003,-31.894795,4.444260000000007,-114.46289299999998,0.08137951707317073,0.0002003041365853659,-0.000177541643902439,-0.000311168731707317,4.335863414634153e-05,-0.0011167111512195124,1705706.0,153775.45,153775.45,1705706.0,51634.03,12320.0,0.616000011084851,1.0001655284552846,1.0001655284552846
31,"[12539.303, 12943.152)",12740000.0,12740.0,1.0003011395238095,-0.012110645728571427,16.640060380952384,1.5004370761904762,21.107417285714284,18.140497380952382,-4.467357095238095,53146.78252380951,79.45131599999999,37.92595571428571,37.92595571428571,-0.05486424749523809,0.013442260709523807,0.005090049685714282,-0.0038161730223809525,-0.009868325592857144,0.004753555280952381,41165.40771428571,88081.66761904761,0.6370000132070439,8535.671428571428,-129.90358095238096,113.44609866666667,-20.695166666666662,-16.63083476190477,-111.31289952380952,0.0832748432055749,-0.0012673520092915213,0.001106791206504065,-0.0002019040650406504,-0.0001622520464576075,-0.001085979507549361,1705652.857142857,153773.61904761905,153773.61904761905,1705652.857142857,53086.22857142858,12730.0,0.6365000101885853,1.0001536198219125,1.0001536198219125
32,"[12943.152, 13347.0)",13150000.0,13150.0,1.0005938154999998,-0.014068486045,16.6400642,1.5008760600000002,21.10727975,18.140940299999997,-4.467215505,54484.2279,80.44627755,37.69321945,37.69321945,-0.05664999587499999,0.004599441604999999,0.00984509625,0.007405766604,-0.0006214074924999994,0.003765940700999999,42578.06675,86936.22565,0.6575000143711591,8786.927999999998,-291.5039425,286.9587,37.52279500000001,12.977337499999999,8.06361,0.0857261268292683,-0.002843940902439024,0.002799597073170732,0.0003660760487804878,0.00012660817073170731,7.86693658536586e-05,1705663.0,153749.5,153749.5,1705663.0,54484.56499999999,13140.0,0.6570000113527008,0.9999967479674797,0.9999967479674797
