,Step,Time,Temp,Press,PotEng,KinEng,E_bond,TotEng,E_pair,Ecouple,Lx,Ly,Lz,Pxx,Pyy,Pzz,Pxy,Pxz,Pyz,CPU,CPULeft,v_shear,c_pe_polymer,c_ke_polymer,c_ebond_polymer,c_pe_filler,c_ke_filler,c_ebond_filler,c_pxy_polymer[1],c_pxy_polymer[2],c_pxy_polymer[3],c_pxy_filler[1],c_pxy_filler[2],c_pxy_filler[3],c_ke_total,c_pe_total,c_pxx_polymer[1],c_pxx_polymer[2],c_pxx_polymer[3],c_pxx_filler[1],c_pxx_filler[2],c_pxx_filler[3],v_pxx,v_pyy,v_pzz,v_pxy,v_pxz,v_pyz,v_Ly,Time_shift,v_shear_shift,Lx_shift,v_temp_avg,c_temp_polymer,c_temp_filler
19,400000,400,1.0006184999999999,-0.050993993,7.5914554,1.5009211999999998,10.392937,9.0923766,-2.8014818,-134288.38,59.194421,59.194421,59.194421,-0.08739040199999999,-0.032286899,-0.033304677000000005,0.016338231,0.07187051,-0.011060298,3177.7594,28599.835,0.006029112671773996,1674830.0,153875,2163160.0,40831.5,185143,185427,1642.11,166.011,522.0930000000001,-9418.03,-16188.5,11295.5,339018,1715661.5,18099.9,19246.6,17336.2,-14119.7,-21619.8,-18840.0,0.017613063102929465,-0.010501814319851317,-0.006654571200991235,-0.03440977077617489,-0.07090224356137712,0.052294862377201524,59.1881,390.0,0.006414515920976354,59.21709799999999,1.00014160545181,1.0008130081300812,0.9995842781557067
20,420000,420,0.99997686,0.16076472,7.5949106,1.4999586,10.395152000000001,9.0948692,-2.8002412999999997,-134843.32,59.190318999999995,59.190318999999995,59.190318999999995,0.21144707,0.2095495,0.061297585,-0.011056921,-0.0083730127,0.078717527,3338.8479,28459.702999999998,0.005959397800837379,1674790.0,153942,2163470.0,41065.4,185466,185680,895.2819999999999,2333.39,1497.48,-3118.09,-3986.37,-3029.43,339408,1715855.4,17437.2,19702.4,18819.6,-15724.6,-23269.6,-17220.4,0.007578546774050803,-0.015785467740507996,0.007076732454199474,-0.00983630409770776,-0.007314718116647491,-0.006779139746880254,59.188,410.0,0.006344801050039737,59.21299599999999,1.0012921497477654,1.001248780487805,1.0013281503077422
21,440000,440,0.99983259,-0.099158378,7.5954257,1.4997423,10.397091,9.0951679,-2.8016658,-134917.86,59.19429399999999,59.19429399999999,59.19429399999999,0.021608682,-0.16421801,-0.15486581,0.0039390816,-0.053625779000000005,-0.075039646,3500.7195,28324.004,0.006026954264019395,1674830.0,154245,2163440.0,40980.1,185258,185493,1335.04,-97.3031,-56.1835,4202.71,-4150.14,7616.18,339503,1715810.1,17546.6,19918.5,18965.0,-14071.2,-25073.0,-17294.4,0.015379237100628364,-0.022809540667315692,0.007392689618550307,0.024505487211257632,-0.01879565935038499,0.03345427250199133,59.1852,430.0,0.006412357513221753,59.21697099999999,1.0015724105378057,1.003219512195122,1.0002051614296512
22,460000,460,0.99831057,0.11662559,7.5876551999999995,1.4974591999999998,10.393239999999999,9.0851144,-2.8055851,-132655.79,59.179818000000004,59.179818000000004,59.179818000000004,0.09569948800000001,0.14344785,0.11072944,0.022510642,0.01214674,-0.077624367,3663.1822,28190.576,0.005780929770680331,1673920.0,153745,2163180.0,40530.0,184838,185155,-1047.66,-202.377,-747.137,-723.6560000000001,-6914.67,3147.04,338583,1714450.0,16597.3,18755.5,17853.9,-16067.3,-20627.3,-16683.7,0.0023453402956013806,-0.008283033896805023,0.005178334365873089,-0.007838375077440483,-0.031494145499601736,0.010619979644216303,59.1845,450.0,0.006166333019882689,59.202495,0.9988583060447828,0.9999674796747968,0.997937587733506
23,480000,480,0.99982028,0.040914924,7.5941387,1.4997238000000002,10.396686,9.0938625,-2.8025477000000003,-134625.87,59.181235,59.181235,59.181235,0.16210899,0.048877799000000006,-0.08824201699999999,0.057970540999999993,-0.031686796,0.034162897000000005,3824.8274,28048.734,0.005805012162712721,1674500.0,154061,2163360.0,41075.8,185392,185781,-1225.6,2117.84,2401.18,-9844.52,-2544.61,-14362.2,339453,1715575.8,17778.9,18582.0,18601.8,-15041.9,-21596.2,-18333.4,0.012111691300115062,-0.01333834852641827,0.001187715727055482,-0.048987167005929734,-0.0018885299584033984,-0.05292955128772458,59.1852,470.0,0.006190415411915079,59.203911999999995,1.001424904858837,1.0020227642276422,1.0009286254184213
24,500000,500,0.99885643,0.030102706,7.5877895,1.498278,10.389127,9.0860675,-2.801338,-132866.19,59.194713,59.194713,59.194713,-0.057486935,0.0096017094,0.13819334,-0.026998432000000003,0.012474721000000001,0.048882145,3984.8236,27893.765,0.006034075310075703,1674740.0,153949,2163200.0,40259.0,184340,184620,1258.04,843.1519999999999,2636.91,-6311.92,-11605.0,-642.6030000000001,338289,1714999.0,18220.6,19349.1,19699.7,-17775.4,-22882.3,-16234.0,0.001970085848305147,-0.01563501194796,0.015336312948048504,-0.022364280024780955,-0.04762301088591911,0.008825148243207362,59.1921,490.0,0.006419478559278061,59.217389999999995,0.9979909726524471,1.0012943089430895,0.9952488932080769
25,520000,520,0.99970208,-0.069915582,7.594140299999999,1.4995465000000001,10.396035000000001,9.0936868,-2.8018943,-134592.03,59.194343,59.194343,59.194343,-0.069074204,-0.034548667000000005,-0.10612387,-0.0033433845,0.068864297,0.040979048,4147.3559,27755.382,0.006027787035515416,1675000.0,154070,2163610.0,40937.2,184962,185276,-1222.73,970.3580000000001,-3179.42,-735.0169999999999,-1903.93,-4134.39,339032,1715937.2,18480.3,18411.2,18710.5,-14005.7,-24201.8,-17454.5,0.01980086733339233,-0.025624391539074247,0.005558013983538366,-0.008663364014514558,-0.004131215151783343,-0.03236485529692893,59.1942,510.0,0.006413190284717774,59.21702,1.0001829070419213,1.002081300813008,0.998607061872368
26,540000,540,1.002338,0.0073684946,7.590418400000001,1.5035003,10.391164,9.0939187,-2.8007459,-134653.31,59.19957900000001,59.19957900000001,59.19957900000001,-0.031815878,0.1053935,-0.051472138,0.09183587800000001,-0.0094989791,-0.09742780000000001,4310.4072,27618.535,0.00611677461821266,1675930.0,153967,2163900.0,40429.5,184697,185005,-1188.69,1803.8,936.791,-11186.4,6022.39,-4986.25,338664,1716359.5,19014.6,18619.1,19071.4,-15022.2,-23094.7,-18695.3,0.017667050181431977,-0.019805292503761403,0.001664306575803178,-0.05476188158244093,0.034632224090627495,-0.017919545977520133,59.18899999999999,530.0,0.006502177867415018,59.222256,0.9990972652447119,1.001411382113821,0.9971763308498002
27,560000,560,1.0019071,0.02268028,7.5926115,1.5028540000000001,10.393858999999999,9.0954655,-2.8012476000000004,-134996.53,59.198013,59.198013,59.198013,0.011235961000000001,0.071266683,-0.014461803,0.030541435,-0.0045656595,-0.037448005,4472.5196,27474.049,0.006090159921019356,1675290.0,154097,2163480.0,40964.2,185068,185380,-1412.66,3644.77,972.796,4147.76,2540.0,7247.81,339165,1716254.2,19545.5,18222.2,18985.6,-15077.2,-22466.2,-19222.1,0.01977298876006726,-0.01878042304628728,-0.001046552792282503,0.012103283476413844,0.027368660943446324,0.036377582086910346,59.1957,550.0,0.006475563170221714,59.22069,1.0005752721479777,1.0022569105691057,0.9991793542813951
28,580000,580,1.0005575,0.21580277,7.591360099999999,1.5008297,10.393038,9.0921898,-2.801678,-134255.38,59.18846,59.18846,59.18846,0.25146533,0.27319466,0.12274832,-0.014122235,0.053950585999999995,-0.082147151,4633.8902,27323.974,0.005927803470005883,1674630.0,153831,2163480.0,40965.6,185215,185478,-1452.55,-1821.19,-3093.38,4333.92,1406.46,11501.0,339046,1715595.6,19021.7,19337.6,18598.2,-15311.7,-21281.8,-20539.7,0.016417382069209664,-0.008603416231524916,-0.008591468271528454,0.012750553146296133,-0.0018352509071599258,0.03720515089830958,59.1924,570.0,0.006313206719208241,59.211136999999994,1.0002242086320323,1.0005268292682927,0.9999730050750459
29,600000,600,1.0011915,0.093889471,7.59121,1.5017806999999999,10.394098,9.0929907,-2.8028882,-134431.97,59.188191,59.188191,59.188191,-0.0035553019,0.11346222,0.17176149,0.006265475600000001,-0.0038514999,0.0063570732,4794.2661,27167.507999999998,0.005923231724447218,1674620.0,154119,2163430.0,40866.3,185246,185525,-3428.01,255.972,-1019.76,-7684.32,-6061.08,-3994.22,339365,1715486.3,19408.9,19797.7,18763.5,-15048.1,-21774.3,-21007.1,0.0192972829453934,-0.008746791751482425,-0.009928312240021234,-0.049173953447207715,-0.025688591910788566,-0.02218771572705549,59.1934,590.0,0.0063086349736495755,59.210868,1.0011652948638523,1.0024,1.0001403736097614
30,620000,620,0.99694025,-0.17083628,7.5911138,1.4954038,10.3934,9.086517500000001,-2.8022862,-132962.27,59.19873199999999,59.19873199999999,59.19873199999999,-0.16448032,-0.10056357,-0.24746494,0.1303646,0.11582436,0.047451466,4955.169,27013.662999999997,0.006102379568070223,1674340.0,153906,2163050.0,40379.6,184727,184979,2065.72,-217.34,4245.43,6996.09,-2189.47,8856.42,338633,1714719.6,19150.9,18643.3,18307.4,-15251.0,-23432.4,-16868.6,0.017257721922294016,-0.021192583414461466,0.006366935127002402,0.040100053102044425,-0.010650544295955394,0.05797791839985839,59.184,610.0,0.0064877828172725804,59.22140899999999,0.9990058117237514,1.0010146341463415,0.9973383003995249
31,640000,640,1.0002906999999999,-0.083910845,7.5917944,1.5004295,10.394698,9.0922239,-2.8029034,-134242.5,59.185363,59.185363,59.185363,-0.11494705,0.013890748,-0.15067623,0.014814828,-0.12859442,0.14330111,5115.0946,26854.246,0.005875168912402198,1674750.0,153854,2163400.0,40784.6,185285,185531,-374.42199999999997,1438.47,-2461.42,-5625.85,4553.69,-4525.4,339139,1715534.6,19200.5,19344.4,19159.5,-17307.4,-24137.7,-16318.3,0.008377290025665982,-0.021211169130011504,0.012572794052571027,-0.026552225860695635,0.02651632887866183,-0.03091786883795026,59.1925,630.0,0.006260572161604556,59.20804,1.000498569194914,1.0006764227642275,1.0003509340244034
32,660000,660,0.99728489,0.16007803,7.5904371,1.4959207,10.394548,9.0863578,-2.8041112999999998,-132910.05,59.175642,59.175642,59.175642,0.12142516,0.16342636,0.19538257,0.089176412,-0.050012327999999995,0.042503734,5275.7919,26698.705,0.00570995724483168,1674430.0,153430,2163500.0,40466.6,184974,185372,-2549.45,127.054,1947.04,1524.42,-2080.06,-6110.29,338404,1714896.6,19135.8,19774.8,18930.8,-16540.6,-23722.5,-18090.2,0.011484202141782461,-0.017469245065935043,0.0037197982122311644,-0.00453593238339676,-0.008642384281794849,-0.01842309053898575,59.1859,650.0,0.006095360494034038,59.198319,0.998330235714075,0.9979186991869919,0.9986718496922579
33,680000,680,0.99757726,-0.13081876,7.589100999999999,1.4963593000000002,10.39156,9.085460300000001,-2.8024588,-132709.33,59.195106,59.195106,59.195106,-0.11874298,-0.10424178,-0.16947153,-0.070264064,0.050189183,0.10749426,5437.1571,26546.12,0.006040754477379029,1674520.0,153290,2163260.0,40469.6,184847,185132,2159.24,-1415.89,2332.78,-415.921,-3232.21,-1683.26,338137,1714989.6,18655.3,19224.7,18539.0,-16162.6,-21343.8,-18958.1,0.011030622178953885,-0.009377378529073364,-0.001854588901672708,0.00771448358261793,-0.02056863439242411,0.002874236658111338,59.1876,670.0,0.006426157726581387,59.217783,0.9975425553883824,0.9970081300813007,0.9979861785984234
34,700000,700,1.0005600000000001,-0.061405229000000006,7.586430900000001,1.5008333999999999,10.391183999999999,9.087264300000001,-2.8047527999999997,-133124.35,59.18168299999999,59.18168299999999,59.18168299999999,-0.11121075,-0.052217072,-0.020787866000000002,-0.051685369,0.025401467,0.017932718,5598.4838,26392.852000000003,0.0058126260735315875,1674490.0,153858,2163460.0,40217.3,184987,184996,-1634.62,-2196.07,349.819,10745.5,-10927.2,-12693.0,338845,1714707.3,19426.8,19719.5,19106.6,-18771.5,-23244.8,-16309.6,0.0028998141428444963,-0.015600053102044426,0.012377201522258598,0.040317196212054165,-0.05807270554916365,-0.05462067882113462,59.1923,690.0,0.006198029322733945,59.20435999999999,0.9996312358025784,1.0007024390243902,0.9987420364971386
35,720000,720,1.0018793,-0.022968115,7.5910908,1.5028122,10.394328999999999,9.093903,-2.803238,-134627.21,59.188128000000006,59.188128000000006,59.188128000000006,0.038453087999999996,-0.089848836,-0.017508597,0.055585895,0.057939714,0.037195162000000004,5760.2182,26240.994,0.005922161018238341,1675360.0,154621,2163660.0,40236.8,184850,185080,-110.375,250.85,-809.063,-10752.9,-7500.39,973.7919999999999,339471,1715596.8,18736.8,18946.7,18745.1,-18358.4,-21509.5,-16322.5,0.001674484467651995,-0.011340826621824937,0.010720417736082833,-0.04807184264094167,-0.0320804495973095,0.0007289538897247541,59.1905,710.0,0.006307564267440699,59.210805,1.0014780069032658,1.0056650406504066,0.9980023755533959
36,740000,740,0.99889733,-0.032568746,7.5912348,1.4983393999999999,10.39126,9.0895742,-2.8000255000000003,-133659.87,59.199045,59.199045,59.199045,-0.026603553999999998,0.0051600685,-0.076262752,-0.012715991999999999,0.018239921,0.055050046,5921.4542,26086.406000000003,0.006107699108441635,1674920.0,153756,2163270.0,40537.3,184843,185069,2145.03,1737.83,1395.15,5018.49,10906.2,-5871.84,338599,1715457.3,18421.1,18756.7,19391.9,-18227.1,-22177.4,-15968.9,0.0008584830515974865,-0.01513718028144084,0.01514735817328968,0.031699796442163024,0.055951986901495714,-0.019810115939463673,59.1983,730.0,0.006493102357643993,59.22172199999999,0.9989055078620527,1.000039024390244,0.9979645826584602
